d [mm],f [GHz],pPDn [W/m2],pPDtot [W/m2],psPDn_1 [W/m2],psPDtot_1 [W/m2],psPDn_4 [W/m2],psPDtot_4 [W/m2],pDeltaT * 100 [°C]
55,46,28.0,27.0,14.0,16.172959614189946,7.0,8.728560566541898,8.35745812753167
79,29,0.0,0.0,0.0,0.34512500221945097,0.0,0.39112576643644625,2.1439621916277507
132,52,45.0,45.0,12.0,12.996251999104656,6.0,6.623314805733583,2.9503994026960485
66,65,21.0,20.0,16.0,19.428088766701336,8.0,10.595172483951426,9.284722009941472
75,65,19.0,18.0,2.0,2.62173194234483,1.0,1.510351779695853,3.7025039513496245
45,90,30.0,28.0,16.0,20.68232773391263,7.0,10.842814236651382,37.21723496824939
4,58,288.0,289.0,40.0,65.13599678065475,13.0,27.880731744366493,116.15499339164252
47,16,91.0,90.0,28.0,32.63104510918917,10.0,13.09894082391725,43.28084812592306
34,61,72.0,72.0,20.0,23.715782935803794,8.0,10.715431800820088,52.28061745017911
131,83,0.0,0.0,0.0,0.2353160004389374,0.0,0.22782217367831126,0.9228118483952523
73,51,40.0,40.0,15.0,17.307943871391945,7.0,8.670103986010274,7.171700461355012
144,60,0.0,0.0,0.0,0.5657787634557201,0.0,0.5248799232771235,0.440892322327145
114,90,0.0,0.0,0.0,0.1427095670306533,0.0,0.11581295051861074,2.2548441933738244
116,79,14.0,13.0,3.0,3.565260057361691,1.0,1.4248842350707618,1.580466964081773
128,15,0.0,0.0,0.0,0.15447579419894275,0.0,0.1283522195515281,0.21769207232002327
35,55,49.0,50.0,24.0,31.8712216682748,9.0,14.957766713725837,35.567795020841736
140,37,0.0,0.0,0.0,0.36303552716557275,0.0,0.2725423566752452,0.39983130531561234
97,23,42.0,40.0,16.0,17.52257302720694,7.0,8.06316021371891,0.5529207862646002
135,14,0.0,0.0,0.0,0.2836284889892746,0.0,0.27577149471561246,0.3122358480371092
23,26,33.0,31.0,30.0,42.974258644433434,11.0,20.399265066825286,37.4828708736896
43,28,40.0,39.0,22.0,26.064960079512694,8.0,11.076301981941816,8.679251541651603
12,32,268.0,268.0,39.0,61.688489325859514,12.0,25.480633925899483,103.20290551338209
67,60,28.0,27.0,18.0,21.931769239210432,8.0,10.952004841970552,2.209178358467528
54,38,197.0,196.0,33.0,39.6668386556359,10.0,14.258212141811718,29.373536217170706
135,52,0.0,0.0,0.0,0.42585590269675233,0.0,0.39642628144161285,0.7706033807494863
124,26,0.0,0.0,0.0,0.5761586834086128,0.0,0.6245144892662418,1.2007410251196635
89,61,55.0,52.0,15.0,16.35986362822216,5.0,6.00556762937696,4.896458265641696
149,31,0.0,0.0,0.0,0.011996718909977444,0.0,0.0069231042328510295,0.038182003897439386
123,20,0.0,0.0,1.0,1.7392804249458171,1.0,1.6688453385331625,2.3077518734219447
12,37,240.0,245.0,40.0,59.14444867958159,12.0,23.172093380278916,49.46321387390203
73,67,47.0,47.0,10.0,11.420452399174042,4.0,4.993377467591866,5.514466168106015
88,61,60.0,60.0,7.0,7.769523686664292,2.0,2.4746830828713966,1.079776873147618
147,66,0.0,0.0,0.0,0.05993639312320198,0.0,0.06017550088826695,0.3344300854250348
138,72,0.0,0.0,0.0,0.08495994708074006,0.0,0.07219482880194517,0.6491598638986744
27,19,47.0,47.0,19.0,22.956402270504835,8.0,11.019439059050779,10.681663481976553
98,81,49.0,49.0,21.0,24.167809974584365,8.0,10.503087546579437,8.379345981644438
118,45,0.0,0.0,5.0,5.98515824028433,2.0,2.9356803735658383,1.779292251058017
117,76,0.0,0.0,0.0,0.292451924021925,0.0,0.32255081693053245,1.9336288699276079
35,56,50.0,51.0,25.0,32.84636124482532,9.0,14.561782323173606,11.261265828929291
126,80,0.0,0.0,3.0,3.7519308645488243,2.0,2.5611264862545777,0.5877841220536193
70,62,1.0,1.0,4.0,5.479662685098767,2.0,3.2594017446402184,0.8097497971071475
52,38,58.0,59.0,20.0,23.715310982795586,9.0,11.533728229334438,6.587367074469711
67,84,72.0,72.0,18.0,20.573444124846993,7.0,8.842210070123539,4.4703988280279585
51,25,62.0,63.0,26.0,32.23423624642058,9.0,13.770440774621907,19.050192276198022
88,57,19.0,18.0,7.0,8.200497583979747,3.0,3.9539494205623607,1.673401542204001
97,55,0.0,0.0,1.0,1.8239450425836818,1.0,1.7177955416496586,2.0148464356495843
14,63,81.0,82.0,38.0,57.880394392729755,12.0,24.30480606265659,65.39627201706385
57,14,0.0,0.0,1.0,1.7432435490312734,1.0,1.67143559323634,2.8771024076970937
128,57,0.0,0.0,0.0,0.16673082818825247,0.0,0.12645471753295223,0.21350662085221137
100,18,59.0,58.0,20.0,21.563939337172407,8.0,8.990987380234081,1.5865770406458481
73,79,31.0,31.0,21.0,26.37958324320487,8.0,12.144728856989472,29.096838975359685
70,90,0.0,0.0,0.0,0.7491697173903955,0.0,0.7376735471374132,9.981548401062359
133,68,0.0,0.0,0.0,0.12004887705045619,0.0,0.1418187440489571,0.3099168081298049
136,21,0.0,0.0,3.0,4.138369378115852,2.0,3.052387512302119,2.050227728364233
70,72,84.0,85.0,30.0,36.429958730330625,10.0,14.092583408101474,20.80183402513654
78,67,9.0,10.0,6.0,7.235671646239885,4.0,4.927384910209205,1.8670932222960754
47,64,148.0,172.0,20.0,24.88547696955356,9.0,12.091590445295195,9.221768546540911
95,71,68.0,68.0,10.0,10.858730096307253,4.0,4.556919350835364,10.212657873056358
48,88,87.0,90.0,28.0,35.31183392096636,9.0,14.025876119866155,16.914117590852673
23,71,102.0,106.0,23.0,27.4146077126872,8.0,11.129473312043352,24.357653798033898
141,53,0.0,0.0,0.0,0.525709091864691,1.0,1.479429085132669,0.7018934111133586
90,87,24.0,24.0,7.0,8.085074126782185,2.0,2.814936809511355,2.03100410859846
136,34,0.0,0.0,0.0,0.2512682902150516,0.0,0.23891163527450776,0.676233187100852
110,16,0.0,0.0,2.0,2.383164425470627,1.0,1.3115033742879503,0.7754616450053275
60,52,104.0,110.0,30.0,37.26110239298397,10.0,15.1266109219497,27.38729536561979
79,32,0.0,0.0,0.0,1.319527040487174,1.0,2.190876586724644,5.099354735186734
56,51,32.0,33.0,13.0,15.019207413837071,6.0,7.546228481925398,5.9861232172992604
26,69,209.0,210.0,38.0,54.61868703210958,12.0,22.047977691064634,67.9093655682409
90,37,6.0,6.0,6.0,7.847777615858088,3.0,4.600231853632167,3.3193502320973605
35,68,138.0,137.0,33.0,39.10543613081564,10.0,13.930344078635923,6.051278035753152
105,85,31.0,31.0,4.0,4.788952438123568,1.0,1.5931368466511675,3.4117035530709194
69,79,53.0,53.0,17.0,20.372872578873597,7.0,9.525547894358818,5.8074160167990145
120,26,3.0,3.0,2.0,2.4998626937322497,1.0,1.3442665711970034,0.4652981413485941
75,52,58.0,56.0,15.0,16.489705481196527,6.0,7.096661914196845,9.823219868549698
38,22,64.0,63.0,19.0,22.160224475402053,8.0,10.105799721112398,37.208258716086185
136,70,0.0,0.0,0.0,0.23533751430367134,0.0,0.2360499605071833,0.36810991723220615
37,74,289.0,287.0,40.0,52.712995126346144,12.0,18.919231034216608,16.145663842799692
107,49,88.0,92.0,24.0,27.397066476096573,9.0,11.044280978650928,13.164084591603475
93,46,0.0,0.0,6.0,9.02759787740316,6.0,8.81259472584096,6.640397299182855
121,13,0.0,0.0,0.0,0.47635343239732464,0.0,0.35806771776217916,0.6719110196908336
48,48,11.0,11.0,16.0,20.95939705103469,8.0,12.001445154460193,20.235595556688896
37,42,44.0,43.0,20.0,24.00521174130768,8.0,11.101551698402822,64.52971666319048
48,64,123.0,133.0,28.0,34.254747884357116,9.0,13.47421871412793,55.42430657925576
26,21,0.0,0.0,12.0,17.2558786171221,8.0,12.85718926895091,19.59251354485612
56,63,10.0,9.0,7.0,8.753026523486929,3.0,4.480104885691875,13.117599773716915
70,42,81.0,82.0,22.0,25.917684202629644,9.0,11.662000137727214,12.080025085621303
73,35,0.0,0.0,4.0,5.604242941735893,3.0,4.439365361596302,5.632794759548185
119,40,41.0,44.0,13.0,15.528805186477083,7.0,8.873563567163805,3.5219516511341973
145,41,0.0,0.0,0.0,0.15227429932974856,0.0,0.12860971323293846,0.39789229794098996
106,80,0.0,0.0,0.0,0.43316352221042176,0.0,0.431542841092837,1.432591723127179
16,29,71.0,78.0,30.0,46.56450584176909,11.0,21.882342721058475,24.253075169916052
9,41,210.0,208.0,38.0,52.9633578773878,12.0,21.63901958496318,73.25682976522697
11,10,77.0,77.0,31.0,41.62029909456542,11.0,18.479879464932345,53.40116891148696
70,54,40.0,39.0,17.0,20.414989003019524,7.0,9.561027011563153,11.593424213665916
145,42,0.0,0.0,0.0,0.11890773079794337,0.0,0.08761114812190263,0.3694070648189826
69,61,4.0,4.0,4.0,5.032755898319454,3.0,3.9056401762663535,4.200048255265988
51,74,56.0,59.0,8.0,9.871380004750556,4.0,5.366755116611202,6.117370571675332
79,26,77.0,76.0,22.0,24.655691262758765,8.0,9.823103179702601,15.985254072504578
43,19,41.0,44.0,18.0,24.08572321795234,9.0,13.326851219059595,33.88277087568077
66,42,0.0,1.0,4.0,6.321905530081557,5.0,7.21398026692928,13.632135063348281
33,27,49.0,49.0,24.0,29.18752364200914,9.0,12.578493485159001,5.17557300604378
92,57,22.0,23.0,8.0,9.609091225234717,5.0,6.3673050073759345,13.156932633774414
127,26,0.0,0.0,0.0,0.3681174653228665,0.0,0.3260578343941909,0.5554585858147756
84,36,28.0,27.0,18.0,22.423439726367413,8.0,11.702429714153801,9.988656607317534
18,28,141.0,164.0,36.0,57.089616522182766,12.0,25.094028818325057,74.16443972590854
71,80,36.0,35.0,13.0,15.517415998289245,6.0,8.04106330812684,39.01974776750555
18,13,78.0,78.0,35.0,45.09349506946934,11.0,17.736154526896453,27.73926128630426
50,65,134.0,138.0,35.0,44.67534481114112,11.0,17.058098106265753,30.956771917265698
84,89,8.0,8.0,1.0,1.829068771397421,0.0,0.7370550801326858,1.6266656756007487
34,79,59.0,60.0,26.0,35.902994593620896,10.0,17.086789869889333,63.86873059327305
38,30,23.0,24.0,10.0,12.812463156373095,6.0,8.174640079481671,8.40835172812308
69,29,12.0,11.0,9.0,11.271837194263675,5.0,6.88769568216909,3.732277241443812
35,83,315.0,315.0,40.0,56.394644943927865,13.0,20.89935694819882,67.91675481761648
54,42,47.0,46.0,23.0,28.450029831194975,9.0,13.344324602734744,29.476708698277292
34,25,22.0,19.0,22.0,25.848011064326386,8.0,11.109986316699278,7.6325887852305705
117,83,47.0,49.0,17.0,20.109616863306726,8.0,9.99634005515702,10.585849648961473
12,89,264.0,264.0,40.0,67.45349616025437,13.0,28.710355525611043,103.58719535044584
130,30,0.0,0.0,0.0,0.2056407073912987,0.0,0.19763857977241228,0.8738194443042502
84,54,0.0,0.0,2.0,3.7466961914014814,3.0,4.5899235445774655,3.441520580328223
25,42,43.0,41.0,14.0,16.536422846087802,6.0,7.956747202066397,6.106529325410578
140,59,0.0,0.0,0.0,0.23120812201361263,0.0,0.19134626560786816,0.3732785512122209
112,28,3.0,2.0,3.0,3.4659140152413572,1.0,1.364056334610622,0.9921883788808479
109,73,33.0,34.0,12.0,14.472554101011093,6.0,7.825034842191304,5.67284975977306
56,45,53.0,56.0,12.0,14.590795280293431,6.0,7.761239990019271,3.0529361390030183
127,29,0.0,0.0,1.0,1.6489934052509088,1.0,1.501502147769833,0.7349828637955309
136,10,0.0,0.0,1.0,2.1568390791402954,3.0,4.183965791464145,2.033372385918954
80,45,0.0,0.0,1.0,1.7794027684585594,1.0,1.8022798637058421,6.695633967328987
45,26,34.0,36.0,16.0,22.555872508015778,9.0,14.064738718254459,23.745788361172988
77,66,55.0,57.0,21.0,25.947584341047026,8.0,11.618377439895283,16.29789017418153
118,48,19.0,19.0,10.0,11.409532570269214,5.0,6.032745005788692,3.3858270481653316
140,38,14.0,14.0,4.0,4.3459164301422915,1.0,1.2432168301382243,0.3237885150350603
115,66,0.0,0.0,3.0,4.077608807004472,2.0,3.072027327565429,16.871842151702566
138,60,17.0,15.0,10.0,10.571008270723645,5.0,5.358724169596088,0.3581527303862195
35,56,162.0,180.0,33.0,44.53964330329511,11.0,18.574526951955463,48.92134084053725
148,81,0.0,0.0,0.0,0.010153835598892824,0.0,0.009998683130051589,0.15221783549110876
76,79,25.0,29.0,10.0,13.295917486945068,7.0,9.538843336747464,20.55817920308893
52,47,38.0,38.0,19.0,23.95485495145454,9.0,12.989947640975359,27.973065547395127
129,82,0.0,0.0,0.0,0.35973141278286214,0.0,0.40539582083211867,1.032148142813623
45,55,68.0,70.0,28.0,36.7934465479662,10.0,16.125267551177057,27.578927783470306
99,45,0.0,0.0,4.0,5.068041201125196,3.0,3.9191096441064888,4.363304259251794
97,20,0.0,0.0,16.0,21.345576220379016,9.0,13.520795477551186,7.4205779060570585
143,16,0.0,0.0,0.0,0.05194011115629671,0.0,0.05043978969623231,0.05446683901756707
107,76,0.0,1.0,2.0,2.9236374229501028,1.0,1.8352512975709472,3.8141756290789544
137,82,0.0,0.0,0.0,0.18278600929640598,0.0,0.1788197131969287,0.8192413688000499
87,58,0.0,0.0,3.0,4.395336144897245,2.0,3.5451638225404465,24.66845186769905
143,22,0.0,0.0,0.0,0.11432918605562059,0.0,0.08589380464017848,0.14312986891971488
91,27,5.0,5.0,10.0,12.196474788121344,6.0,7.794677084584983,1.2585460664623769
94,20,0.0,0.0,4.0,5.487277435989182,3.0,4.2486507643389215,4.189794165400931
85,72,37.0,37.0,23.0,27.251950441056955,8.0,11.149431176969438,9.294925496522911
45,52,13.0,15.0,8.0,10.287979536230422,6.0,8.02240027802129,6.310398124679132
16,56,55.0,53.0,22.0,29.742149943375587,9.0,14.88247109575771,41.679810759392446
145,33,0.0,0.0,1.0,1.744684130361808,2.0,2.6345853222987468,1.1491193301815144
12,28,77.0,76.0,32.0,42.51109959917019,11.0,18.418292596320725,85.05287958686941
143,66,13.0,13.0,2.0,2.2359167636098274,0.0,0.16913989320444633,1.0103887597771886
7,87,315.0,315.0,40.0,62.91705293796177,13.0,24.81662981299731,94.83407783600477
138,78,10.0,9.0,5.0,5.681420368934079,2.0,2.47766937199984,1.2444993722555981
22,47,246.0,247.0,39.0,54.090034794437486,12.0,21.340569034515696,62.92819060179594
123,77,2.0,1.0,6.0,7.167346890689485,3.0,3.880350876461648,2.9037973661933236
53,50,20.0,18.0,22.0,27.567577814070138,9.0,13.605529947437162,20.99652888674952
20,80,82.0,86.0,30.0,42.84674165151402,11.0,20.244484371333325,79.85678162234711
56,45,96.0,95.0,29.0,33.08628987899043,9.0,11.907769449688663,13.146821697899275
81,19,76.0,79.0,21.0,24.27544157750733,8.0,10.274951339333406,21.726416958236715
5,26,311.0,315.0,40.0,69.13304094012075,13.0,29.176382883648216,95.22038504398095
6,41,304.0,304.0,40.0,69.20875602101248,13.0,28.97535298004464,94.27684367346211
103,21,18.0,18.0,4.0,4.626325897804067,2.0,2.5345186474182997,5.221292335411285
50,58,170.0,170.0,32.0,36.72357394325215,10.0,13.037487395313361,10.708568014229265
89,73,153.0,158.0,33.0,38.1737612612289,10.0,13.044210557210342,7.192543131839059
109,57,99.0,109.0,22.0,26.15216460439253,9.0,11.66188239527175,31.28628598033068
78,35,10.0,10.0,3.0,4.057339823726449,3.0,3.830286958958677,1.7213521186172005
142,88,0.0,0.0,0.0,0.05879401825404362,0.0,0.08330309778412404,0.47128351027011134
85,63,36.0,37.0,17.0,20.836672051862994,8.0,11.048741212003915,6.169262783301091
52,21,12.0,14.0,11.0,16.715444962512215,8.0,13.008293445992031,8.481117145336198
39,55,57.0,59.0,31.0,41.51372759235314,11.0,18.460960343080476,51.13779809005708
140,53,0.0,0.0,0.0,0.1669467876607289,0.0,0.15211392187379547,0.07011227547924245
34,86,106.0,109.0,23.0,26.837247686217072,8.0,10.696142333783953,22.605168121343787
38,67,39.0,40.0,27.0,38.41360750979951,11.0,19.2072714666143,42.32950115236184
58,85,120.0,127.0,31.0,37.7890621783267,10.0,13.902008105489204,21.410817461128588
139,68,0.0,0.0,0.0,0.1382618869854746,0.0,0.11054565307471886,0.7272217242511354
55,16,19.0,19.0,13.0,16.14442947644264,7.0,9.530914107768522,3.752125884626951
30,52,91.0,91.0,19.0,22.43701572135459,8.0,10.354065499888039,25.115201117318993
110,51,63.0,63.0,14.0,15.402930688797898,6.0,6.932918488476045,8.707993490409388
61,69,6.0,6.0,10.0,13.326520509296197,6.0,8.943787030200852,12.030708710164305
130,26,0.0,0.0,0.0,0.44792752532080593,0.0,0.3703660328514411,0.43014695160734034
106,86,3.0,2.0,2.0,2.4934430997959787,0.0,0.3992773873793032,2.784717477758495
66,40,0.0,0.0,2.0,3.0056769206126437,1.0,2.0637789215480966,5.786141679506918
143,12,0.0,0.0,0.0,0.14624861078404816,0.0,0.15591071543905177,0.17407512980383696
26,54,117.0,122.0,32.0,40.70771674985821,10.0,15.741958982941398,19.758848495244116
50,61,0.0,0.0,2.0,2.8650468652368413,1.0,1.8368111739508526,6.668005890324439
147,37,0.0,0.0,0.0,0.09406108940701996,0.0,0.09865663813179038,0.05639823400206697
87,12,0.0,0.0,7.0,9.390776493586893,6.0,8.210319391974574,5.7996490373470575
36,65,273.0,274.0,39.0,53.090114144393425,12.0,20.163917996698654,32.21779651061557
101,36,17.0,16.0,18.0,21.91723080915794,9.0,11.998186524520674,3.6213086397384218
111,70,1.0,2.0,3.0,4.0144591303163,1.0,1.8732049839927225,1.2513563895445117
22,12,14.0,15.0,9.0,12.978654593065025,6.0,9.573650843532404,14.758980339527282
103,49,0.0,0.0,1.0,1.7677553703088953,1.0,1.7103078877930424,2.170556619653597
100,48,0.0,0.0,3.0,3.488675895151996,1.0,1.395427213496816,1.1766987430269835
99,17,31.0,32.0,17.0,20.299831196600323,8.0,10.31814460449456,3.199096732031626
127,77,16.0,14.0,0.0,0.10236579881434493,0.0,0.06360191306090335,0.5516629759476952
85,33,0.0,0.0,4.0,5.803246207018011,3.0,4.670020160593111,2.35308343350238
81,30,283.0,285.0,35.0,39.98257494295027,10.0,12.463204822442556,1.8949342597037453
108,57,0.0,0.0,0.0,0.7308950754666808,0.0,0.7258803819129422,2.1378861156922717
33,33,257.0,260.0,40.0,60.17740039142808,13.0,24.802106977046936,80.82996270430567
80,40,20.0,17.0,11.0,12.29792902798303,5.0,6.140376088842929,10.830749618078006
112,26,0.0,0.0,2.0,2.7103736672181715,1.0,1.6147628887471932,0.7068261789227515
55,20,83.0,81.0,22.0,23.911389411887107,7.0,8.287495687188407,4.007786771532578
13,52,225.0,232.0,37.0,54.368899838476445,12.0,22.76018267695038,85.20434474425547
21,42,77.0,81.0,23.0,29.118070401300233,9.0,13.400145742154194,17.38006313359207
5,88,263.0,262.0,40.0,64.00200086542782,12.0,26.58298552580998,111.7736386910736
103,36,0.0,0.0,0.0,0.7884236456163645,0.0,0.7902289999514869,2.8271241905402102
48,44,135.0,135.0,23.0,27.703193833477748,9.0,12.467452107495198,42.35077566847791
106,56,0.0,0.0,0.0,0.4807215049532394,0.0,0.5189724456664195,2.5011014616165532
131,35,0.0,0.0,0.0,0.33193246005640353,0.0,0.29540630907404397,0.5897766971296294
131,54,3.0,2.0,3.0,3.4882716816036776,1.0,1.3844055353391116,1.9878986636459959
122,50,50.0,49.0,4.0,4.278360025382616,1.0,1.1719849597018792,0.5865916814780059
50,88,27.0,26.0,15.0,18.144319419211897,7.0,9.525952046828074,9.746500800031267
137,67,0.0,0.0,3.0,3.473460588252495,1.0,1.3682370376851534,1.032356691932546
15,54,29.0,29.0,24.0,38.62729271988601,10.0,20.711424564687995,50.58171515018629
83,18,47.0,47.0,15.0,16.438762899590234,7.0,7.8887006368852735,0.9843421344352703
126,76,0.0,0.0,0.0,0.42981492889431294,0.0,0.3725251943000847,3.4610209804160017
116,13,5.0,5.0,7.0,8.002091848177594,3.0,3.784160349821451,0.5939449409538757
58,26,80.0,78.0,26.0,29.633061185465202,9.0,11.588837695242889,12.61713963290876
108,89,0.0,0.0,0.0,0.4738141764276014,0.0,0.5125628547678032,2.929209215928083
106,71,0.0,0.0,6.0,7.491878151041919,4.0,5.188374378834231,3.350722396816654
148,14,0.0,0.0,0.0,0.08840081924728382,0.0,0.06751501862175968,0.08883473832625197
10,16,41.0,40.0,19.0,24.83354997386811,8.0,12.664921744167637,18.272268169016048
39,23,52.0,53.0,29.0,36.748133272690254,10.0,15.334366430760857,4.173482623819137
18,32,217.0,203.0,35.0,40.961636291553226,10.0,13.86339012089745,41.449394104750205
64,50,50.0,51.0,16.0,19.52688557735126,7.0,9.584532696558234,14.689761945804431
8,33,289.0,287.0,40.0,54.70151026356498,12.0,20.469080296733274,72.361457014189
116,50,0.0,0.0,0.0,0.5295180597724012,0.0,0.47482967788019326,1.0429082397212355
40,20,49.0,49.0,16.0,18.607677028300074,7.0,8.803396136071315,4.857932050938577
69,48,73.0,71.0,24.0,27.284915079517333,8.0,10.43965518644335,30.230251080979926
48,47,2.0,3.0,8.0,11.60369605089977,6.0,9.202129396934723,9.272030938830834
147,32,0.0,0.0,0.0,0.08189555540843263,0.0,0.08622726363588185,0.5225345645138331
67,33,81.0,83.0,24.0,27.56496679887819,9.0,11.309179776360601,4.717241586595175
84,46,149.0,168.0,29.0,33.61979302375267,9.0,11.76312640800959,8.179537632274227
102,39,37.0,36.0,20.0,22.00146016758989,7.0,8.410358470828406,1.7629510790438578
82,82,279.0,275.0,28.0,29.32307680934862,8.0,8.706876979159047,5.734084778651862
82,70,5.0,4.0,15.0,18.62999889367904,8.0,11.011556818513139,21.474009347220743
110,27,0.0,0.0,4.0,6.0330294460032405,4.0,5.721534151109198,2.2474848724922154
127,84,6.0,6.0,1.0,1.3517547787613224,0.0,0.2552969385045436,2.4503854958551488
115,32,4.0,4.0,6.0,7.044523527977185,3.0,3.845433768169432,1.1927547629219992
26,39,76.0,77.0,25.0,32.257689285247494,9.0,14.505633466188074,48.69887250026358
97,67,81.0,85.0,26.0,32.31791750906619,9.0,13.622180989215408,42.97038997432505
105,77,27.0,26.0,9.0,10.030960909873809,3.0,3.7581331246343135,2.479266730122189
93,67,70.0,69.0,22.0,23.70394390606071,8.0,9.117004619755244,3.815441023474006
69,34,72.0,73.0,26.0,30.94590971836833,9.0,12.251668085658967,14.093254321573855
60,28,0.0,0.0,17.0,23.61052068138282,9.0,14.848365897247657,34.68718885098861
96,36,0.0,0.0,1.0,1.6698298511159202,1.0,1.541179259282537,2.43334562186089
114,21,14.0,14.0,5.0,5.9050667055147334,4.0,4.6652692839352135,0.5506715144959413
116,61,22.0,22.0,8.0,9.318233915810215,3.0,3.9994833719955283,1.4875272577259682
133,70,0.0,0.0,0.0,0.3005283774325842,0.0,0.2888168120442558,1.6663675233296749
19,64,159.0,175.0,36.0,53.12067726360618,12.0,23.400570759139335,95.98111288507101
7,73,312.0,310.0,40.0,56.56239052894432,13.0,22.15573718698401,107.33718457210702
80,62,0.0,0.0,5.0,6.099631325670369,2.0,2.9651635093834012,2.334744307220447
49,41,7.0,8.0,11.0,15.2236062249636,7.0,10.721575364555886,10.798944432985426
36,55,41.0,41.0,17.0,20.03322057801829,7.0,9.294061934473374,8.153445809591883
85,81,10.0,10.0,6.0,7.722315164934258,2.0,3.6012582397438195,19.581792657794868
16,68,176.0,179.0,30.0,36.600203932152205,9.0,13.282293744478249,19.00665418966804
54,68,129.0,130.0,33.0,40.2761620479848,10.0,15.058570931036297,35.63846143475592
69,25,18.0,18.0,5.0,6.336226459775556,3.0,4.1070102382883285,5.182214888714549
118,36,0.0,0.0,1.0,1.6670030183119937,1.0,1.6128687935282322,0.5844124013527914
21,41,127.0,120.0,28.0,33.624445831345625,9.0,12.894988786576581,48.11336169492626
50,83,212.0,216.0,28.0,32.61293279910523,9.0,12.014342481342904,23.28502182437625
97,37,86.0,82.0,20.0,21.35227093369467,7.0,7.854420227527727,1.4572857142322415
126,32,22.0,21.0,11.0,12.212535381646248,5.0,5.9287646894330255,4.386627155827782
28,33,10.0,12.0,9.0,13.897834340583113,6.0,10.49505051142375,48.85436240758652
5,37,308.0,309.0,40.0,63.53533427187189,13.0,26.62722239049044,98.06887831872272
116,35,56.0,57.0,14.0,15.37961176627052,6.0,6.99513867928145,2.9882592482290953
33,68,310.0,308.0,35.0,39.75097676886722,10.0,12.646961510280303,27.344947603507276
122,26,0.0,0.0,2.0,2.8015111317693338,1.0,1.6622558344365312,1.6896538317550163
46,34,28.0,30.0,4.0,5.486007180714772,3.0,4.178797143946424,9.394984153895454
78,22,45.0,45.0,24.0,28.587512525567334,9.0,12.083435650379048,3.6132103033666527
144,52,0.0,0.0,0.0,0.16064818093512834,0.0,0.12304136971861745,0.21820377490588025
79,90,71.0,72.0,18.0,21.113565563560194,7.0,9.117629681672515,17.644575593416068
149,88,0.0,0.0,0.0,0.024542242785978496,0.0,0.014640468194464296,0.11093811044758703
53,59,74.0,73.0,28.0,33.23072586541,10.0,13.77042668022559,29.257396094197478
55,32,161.0,172.0,33.0,39.49292404268591,11.0,15.046887631402711,17.43627187700532
143,67,0.0,0.0,0.0,0.08201082004707372,0.0,0.11251547911895665,0.42289823407390775
45,76,40.0,40.0,17.0,20.992493554812185,8.0,11.190503078906769,58.92741258016879
22,46,234.0,232.0,36.0,44.50891755523704,11.0,15.990591991916837,11.364238964026256
62,63,23.0,24.0,6.0,8.022279152446341,3.0,4.806276666948404,15.616679995521618
